"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station"
"1113","1113","Cambridge St @ Linden St",,"42.355942","-71.131447",,,,
"11131","11131","Centre St @ Roseway",,"42.318993","-71.111931",,,,
"1114","1114","Cambridge St @ N Harvard St",,"42.357758","-71.126503",,,,
"11148","11148","Malcolm X Blvd @ Madison Park HS",,"42.331139","-71.090065",,,,
"11149","11149","Malcolm X Blvd @ O'Bryant HS",,"42.330681","-71.088203",,,,
"1115","1115","Cambridge St @ Seattle St",,"42.358658","-71.12397",,,,
"11158","11158"," Harrison Ave  @ E Brookline St",,"42.338394","-71.070915",,,,
"1116","1116","Cambridge St @ Mass Pike Exit",,"42.360641","-71.118546",,,,
"11164","11164","Centre St @ Burroughs St",,"42.311466","-71.114502",,,,
"1117","1117","Putnam Ave @ Allston St",,"42.36171","-71.113533",,,,
"1118","1118","Magazine St @ Putnam Ave",,"42.359196","-71.110893",,,,
"11187","11187","Washington St @ School St",,"42.314697","-71.099464",,,,
"1119","1119","Magazine St @ Erie St",,"42.360977","-71.10891",,,,
"1120","1120","Magazine St @ McTernan Way",,"42.361488","-71.108368",,,,
"11200","11200","Canal St @ Causeway St",,"42.365337","-71.061073",,,,
"1121","1121","Magazine St @ Perry St",,"42.362343","-71.107445",,,,
"11218","11218","Congress St @ A St",,"42.350433","-71.048492",,,,
"11219","11219","A St @ Necco St",,"42.348061","-71.050339",,,,
"1122","1122","Magazine St @ Auburn St",,"42.363869","-71.105736",,,,
"11228","11228","Tremont St @ Lenox St",,"42.337784","-71.083038",,,,
"1123","1123","Green St @ Magazine St",,"42.364933","-71.104408",,,,
"11241","11241","South Bay Mall @ Target",,"42.329918","-71.061783",,,,
"11242","11242","South Bay Mall @ Office Max",,"42.327477","-71.061821",,,,
"11243","11243","South Bay Mall @ Stop and Shop",,"42.32642","-71.06469",,,,
"11245","11245","Tremont St @ Berkeley St",,"42.345467","-71.069801",,,,
"11257","11257","Malcolm X Blvd @ King St",,"42.331196","-71.09269",,,,
"11259","11259","Malcolm X Blvd @ Shawmut Ave",,"42.329483","-71.086205",,,,
"1127","1127","Dudley St @ Shirley St",,"42.323078","-71.073212",,,,
"1128","1128","South St @ Centre St",,"42.309746","-71.115356",,,,
"11280","11280","Dudley St opp Shirley St",,"42.322975","-71.073265",,,,
"1129","1129","Centre St @ Seaverns Ave",,"42.312199","-71.114143",,,,
"113","113","Causeway St @ Canal St",,"42.365577","-71.06129",,,,"place-north"
"1130","1130","Centre St @ Lester Pl",,"42.313786","-71.114044",,,,
"11302","11302","Harvard St @ Verndale St",,"42.348568","-71.129623",,,,
"1131","1131","Centre St @ Parley Ave",,"42.315346","-71.114052",,,,
"11317","11317","Huntington Ave @ Tremont St - Brigham Circle",,"42.334145","-71.104424",,,,
"11319","11319","W Second St opp W Third St",,"42.343048","-71.055038",,,,
"1132","1132","Centre St @ Robinwood Ave",,"42.316975","-71.113358",,,,
"11320","11320","Tremont St @ Carmel St",,"42.332458","-71.100159",,,,
"11323","11323","Malcolm X Blvd opp O'Bryant HS",,"42.330605","-71.088417",,,,
"1134","1134","Centre St @ Paul Gore St",,"42.320854","-71.11055",,,,
"1135","1135","Centre St @ Sheridan St",,"42.322163","-71.109039",,,,
"1136","1136","Centre St @ Wyman St",,"42.32246","-71.106964",,,,
"11366","11366","Pearl St @ Washington St",,"42.331936","-71.116287",,,,
"1137","1137","Centre St @ Mozart St",,"42.322685","-71.10466",,,,
"1138","1138","Centre St @ Estrella St",,"42.322857","-71.102982",,,,
"11384","11384","Dartmouth St @ Back Bay Sta",,"42.34735","-71.075727",,,,"place-bbsta"
"11388","11388","Huntington Ave @ Belvidere St",,"42.345345","-71.082047",,,,
"1139","1139","Mt Vernon St opp Harbor Point Blvd",,"42.318447","-71.044235",,,,
"11390","11390"," Dalton St @ Boylston St",,"42.347778","-71.08548",,,,
"11391","11391","Boylston St @ Massachusetts Ave",,"42.347385","-71.087494",,,,
"114","114","Causeway St. @ North Station",,"42.365577","-71.06129",,,,"place-north"
"1140","1140","Centre St @ Highland St",,"42.324791","-71.097572",,,,
"1141","1141","Centre St @ Marcella St",,"42.326103","-71.096535",,,,
"11413","11413","Columbus Ave @ Walnut Ave",,"42.313282","-71.095329",,,,
"11419","11419","A St @ Mt Washington Ave",,"42.346439","-71.05162",,,,
"1142","1142","Centre St @ Cedar St",,"42.327778","-71.09552",,,,
"1143","1143","Centre St @ Linwood St",,"42.328575","-71.095001",,,,
"1144","1144","Centre St @ Highland Ave",,"42.329659","-71.093033",,,,
"1145","1145","42A John Eliot Sq",,"42.329964","-71.091545",,,,
"1146","1146","42 Dudley St",,"42.329395","-71.089127",,,,
"1147","1147","Dudley St @ Shawmut Ave",,"42.328968","-71.086205",,,,
"11478","11478","58 Hancock St opp Glendale St",,"42.313484","-71.065094",,,,
"1148","1148","Malcolm X Blvd @ Shawmut Ave",,"42.329685","-71.086128",,,,
"11481","11481","Herald St @ Harrison Ave",,"42.346302","-71.063362",,,,
"11482","11482","Dudley St @ Clifton St",,"42.318783","-71.069145",,,,
"1149","1149","205 Roxbury St",,"42.330097","-71.091339",,,,
"1150","1150","Centre St @ Gardner St",,"42.329388","-71.094101",,,,
"11501","11501","Dudley St @ Monadnock St",,"42.317989","-71.067413",,,,
"1151","1151","Centre St @ Cedar St",,"42.327549","-71.09581",,,,
"11511","11511","Sleeper St @ Seaport Blvd",,"42.353703","-71.048119",,,,
"11512","11512","Bowdoin opp Mt Ida",,"42.307217","-71.066002",,,,
"1152","1152","Centre St @ New Heath St",,"42.326054","-71.096664",,,,
"11520","11520","Park Dr @ Fenway Sta",,"42.343906","-71.103287",,,,
"11521","11521","131 Morton St",,"42.300137","-71.106422",,,,
"1153","1153","Centre St @ Columbus Ave",,"42.324917","-71.098114",,,,
"11531","11531","Jackson Sq Station @ Orange Line",,"42.323132","-71.099592",,,,"place-jaksn"
"11532","11532","W Broadway @ Linsky Barry Ct",,"42.339672","-71.052299",,,,
"1154","1154","Heath St @ Bromley St",,"42.325367","-71.099579",,,,
"11545","11545","Lee St @ Boylston St",,"42.325809","-71.140472",,,,
"1155","1155","Centre St @ Bickford St",,"42.322948","-71.102272",,,,
"1156","1156","Centre St @ Sunnyside St",,"42.322678","-71.105713",,,,
"1158","1158","Centre St @ Creighton St",,"42.322369","-71.108658",,,,
"11587","11587","Circuit Dr @ Glen Ln",,"42.305237","-71.094727",,,,
"1159","1159","Centre St @ Barbara St",,"42.321095","-71.110542",,,,
"11592","11592","Ruggles St @ Cabot St",,"42.333862","-71.087173",,,,
"11593","11593","Ruggles St opp Kerr Way",,"42.333187","-71.086014",,,,
"1160","1160","S Huntington Ave @ Moraine St",,"42.319618","-71.111732",,,,
"11609","11609","Centre St @ S Huntington Ave",,"42.320087","-71.111336",,,,
"1161","1161","Centre St @ Lochstead Ave",,"42.317364","-71.113228",,,,
"11613","11613","W Boundary Rd @ Washington St",,"42.267433","-71.149986",,,,
"1162","1162","Centre St @ Lakeville Rd",,"42.315868","-71.114128",,,,
"1164","1164","Centre St @ Myrtle St",,"42.313305","-71.114159",,,,
"1165","1165","Washington St @ W Walnut Pk",,"42.316448","-71.097565",,,,
"1166","1166","Washington St @ Cobden St",,"42.317577","-71.096451",,,,
"1167","1167","Washington St opp Dimock St",,"42.318901","-71.095139",,,,
"11673","11673","209 Cambridge St",,"42.452995","-71.157951",,,,
"1168","1168","Washington St @ Townsend St",,"42.319958","-71.09407",,,,
